Date,Index
02/01/2008,6416.7
03/01/2008,6479.4
04/01/2008,6348.5
07/01/2008,6335.7
08/01/2008,6356.5
09/01/2008,6272.7
10/01/2008,6222.7
11/01/2008,6202.0
14/01/2008,6215.7
15/01/2008,6025.6
16/01/2008,5942.9
17/01/2008,5902.4
18/01/2008,5901.7
21/01/2008,5578.2
22/01/2008,5740.1
23/01/2008,5609.3
24/01/2008,5875.8
25/01/2008,5869.0
28/01/2008,5788.9
29/01/2008,5885.2
30/01/2008,5837.3
31/01/2008,5879.8
01/02/2008,6029.2
04/02/2008,6026.2
05/02/2008,5868.0
06/02/2008,5875.4
07/02/2008,5724.1
08/02/2008,5784.0
11/02/2008,5707.7
12/02/2008,5910.0
13/02/2008,5880.1
14/02/2008,5879.3
15/02/2008,5787.6
19/02/2008,5966.9
20/02/2008,5893.6
21/02/2008,5932.2
22/02/2008,5888.5
25/02/2008,5999.5
26/02/2008,6087.4
27/02/2008,6076.5
28/02/2008,5965.7
29/02/2008,5884.3
03/03/2008,5818.6
04/03/2008,5767.7
05/03/2008,5853.5
06/03/2008,5766.4
07/03/2008,5699.9
10/03/2008,5629.1
11/03/2008,5690.4
12/03/2008,5776.4
13/03/2008,5692.4
14/03/2008,5631.7
17/03/2008,5414.4
18/03/2008,5605.8
19/03/2008,5545.6
20/03/2008,5495.2
25/03/2008,5689.1
26/03/2008,5660.4
27/03/2008,5717.5
28/03/2008,5692.9
31/03/2008,5702.1
01/04/2008,5852.6
02/04/2008,5915.9
03/04/2008,5891.3
04/04/2008,5947.1
07/04/2008,6014.8
08/04/2008,5990.2
09/04/2008,5983.9
10/04/2008,5965.1
11/04/2008,5895.5
14/04/2008,5831.6
15/04/2008,5906.9
16/04/2008,6046.2
17/04/2008,5980.4
18/04/2008,6056.5
21/04/2008,6053.0
22/04/2008,6034.7
23/04/2008,6083.6
24/04/2008,6050.7
25/04/2008,6091.4
28/04/2008,6090.4
29/04/2008,6089.4
30/04/2008,6087.3
01/05/2008,6087.3
02/05/2008,6215.5
06/05/2008,6215.2
07/05/2008,6261.0
08/05/2008,6270.8
09/05/2008,6204.7
12/05/2008,6220.6
13/05/2008,6211.9
14/05/2008,6216.0
15/05/2008,6251.8
16/05/2008,6304.3
19/05/2008,6376.5
20/05/2008,6191.6
21/05/2008,6198.1
22/05/2008,6181.6
23/05/2008,6087.3
27/05/2008,6058.5
28/05/2008,6069.6
29/05/2008,6068.1
30/05/2008,6053.5
02/06/2008,6007.6
03/06/2008,6057.7
04/06/2008,5970.1
05/06/2008,5995.3
06/06/2008,5906.8
09/06/2008,5877.6
10/06/2008,5827.3
11/06/2008,5723.3
12/06/2008,5790.5
13/06/2008,5802.8
16/06/2008,5794.6
17/06/2008,5861.9
18/06/2008,5756.9
19/06/2008,5708.4
20/06/2008,5620.8
23/06/2008,5667.2
24/06/2008,5634.7
25/06/2008,5666.1
26/06/2008,5518.2
27/06/2008,5529.9
30/06/2008,5625.9
01/07/2008,5479.9
02/07/2008,5426.3
