,URN,Accounting/Finance,Ancient History,Arabic,Art & Design,Art & Design (3d Studies),Art & Design (Critical Studies),Art & Design (Fine Art),Art & Design (Graphics),Art & Design (Photography),Art & Design (Textiles),Biology,Business Studies:Single,Chemistry,Chinese,Classical Civilisation,Classical Greek,Computer Studies/Computing,D&T Engineering,D&T Product Design,D&T Textiles Technology,Dance,Drama & Theatre Studies,Economics,Electronics,English Language,English Language & Literature,English Literature,Environmental Science,Film Studies,French,Geography,Geology,German,Government & Politics,History,History of Art,Italian,Latin,Law,Logic/ Philosophy,Mathematics,Mathematics (Further),Mathematics (Statistics),Media/Film/Tv Studies,Modern Hebrew,Music,Music Technology,Other Classical Languages,Physical Education/Sports Studies,Physics,Polish,Portuguese,Psychology,Punjabi,Religious Studies,Russian,Sociology,Spanish,Turkish,Urdu,P8MEAENG,P8MEAMAT,SCIVAMEA_PTQ_EE,HUMVAMEA_PTQ_EE,LANVAMEA_PTQ_EE
0,100001,,,,,,,0.01,,,,-0.08,,0.34,,,,,,,,,,0.2,,,,-0.2,,,,,,,-0.4,0.49,,,,,,0.26,0.02,,,,,,,,-0.06,,,,,0.05,,,,,,,,,,
1,100003,,,,,,,,,,,-0.05,,0.15,,,,,,,,,,0.44,,,,0.19,,,0.15,-0.19,,0.85,1.17,0.08,,,0.66,,,-0.05,0.17,,,,0.53,,,,0.12,,,,,0.61,,,0.52,,,,,,,
2,100049,,,,0.05,,,,,,,-0.05,,-0.04,,,,0.27,-1.01,,,,,-0.32,,0.5,,0.23,,,,0.35,,,0.72,,,,,,,0.19,,,,,,,,,-0.16,,,0.56,,-0.86,,0.01,,,,-0.03,0.03,0.15,-0.14,0.76
3,100050,,,,-1.05,,,,,0.12,0.0,-0.38,-0.02,-0.73,,,,-1.34,,0.32,,,,-0.21,,,,0.17,,-0.22,,-0.36,,,-0.44,-0.44,,,,,,0.18,,,0.4,,,,,,,,,-0.17,,0.18,,-0.3,-0.58,,,0.35,0.4,0.9,0.62,1.18
4,100051,,,,,,,,,,,-0.24,0.88,0.8,,,,,,,,,,0.46,,,,,,,,0.34,,,,,,,,,,0.84,,,,,,,,,1.04,,,-0.49,,,,,,,,-0.17,-0.12,-0.33,-0.23,-1.22
5,100052,,,,,,,,,,,-0.24,,0.06,,,,0.37,,,,,,,,,-0.31,0.7,,0.12,,,,,-0.36,-0.13,,,,,,-0.07,-1.12,,,,,,,,-0.66,,,-0.04,,,,-0.11,,,,-0.41,-0.31,-0.39,-0.55,0.23
6,100053,,,,-0.88,,,,,,,-0.5,-0.06,-0.24,,,,,,,,,,-0.03,,,0.88,0.32,,0.21,,0.07,,,,0.15,,,,,,-0.14,,,0.36,,,,,,,,,0.49,,-0.61,,0.02,,,,-0.46,0.01,-0.22,0.01,0.93
7,100054,,,,,,,0.09,,-0.39,,0.05,,0.25,,-0.02,,,,,,,-0.13,0.25,,,,0.27,,,0.78,0.15,,,0.07,0.05,-0.15,,,,0.01,0.02,-0.59,,,,0.59,,,,0.07,,,,,0.42,,0.21,0.76,,,0.67,0.4,0.69,1.17,1.39
8,100055,,,,,,,,,,,0.16,-0.64,,,-0.05,,,,,,,,-0.21,,,,0.19,,,,,,,-0.27,-0.32,,,,,,-0.14,,,,,,,,,,,,-0.35,,-0.55,,0.19,,,,-0.46,-0.45,-0.26,-0.71,0.45
9,100056,,,,,,,,,,,0.45,-0.48,,,,,,,,,,,0.05,,,,-0.05,,,,0.39,,,0.69,0.01,,,,,,-0.64,,,0.38,,,-0.38,,,-1.3,,,-0.52,,,,-0.55,,,,-0.3,0.24,-0.17,-0.06,-0.3
10,100059,,,,,,,,,,,0.15,,-0.49,,0.43,,-0.18,,,,,,-0.47,,,,0.27,,,,,,,0.6,0.04,,,,,,-1.09,,,,,,,,,,,,-0.22,,,,0.23,,,,0.57,-0.3,0.2,0.26,0.61
11,100065,,,,,0.19,,0.66,,,,0.29,,0.14,,,,-0.22,,,,,0.8,0.44,,,,0.4,,,0.3,,,,0.38,0.06,-0.6,0.39,,,-0.13,0.03,0.12,,,,,,,,0.23,,,-0.04,,,,,0.26,,,,,,,
12,100076,,,,,,,0.4,,,,0.08,,-0.1,,,,,,,,,0.85,0.26,,,,0.36,,,-0.29,0.52,,,0.21,0.37,,,0.36,,,0.09,0.01,,,,,,,,-0.28,,,0.46,,0.39,,,0.54,,,,,,,
13,100084,,,,,,,0.74,1.35,0.12,0.32,,-0.6,,,,,,,,,,,,,,,0.55,,0.29,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,
14,100171,,,,,,,,,,,-0.66,,-0.61,,,,,,,,,,-1.0,,,,,,,,,,,-0.39,,,,,,,-0.09,,,,,,,,,-0.71,,,-0.49,,-0.34,,-0.2,,,,-0.09,-0.26,-0.49,-0.16,0.28
15,100182,,,,,,,-0.05,,,,0.52,,-0.18,,,,,,,,,,-0.51,,0.38,,0.43,,,,0.44,,,0.14,-0.05,,,,,,-0.11,,,0.28,,,,,,0.23,,,0.02,,,,0.38,-0.53,,,0.29,0.17,0.0,0.48,0.58
16,100183,,,,,,,0.12,,0.61,,0.08,,-0.46,,,,,,,,,,-0.23,,,,-0.78,,-0.17,,,,,-0.96,-0.81,,,,,,0.52,-0.16,,,,,,,,,,,0.33,,,,-0.21,,,,-0.56,-0.48,-0.73,-1.08,-1.01
17,100190,,,,,,,0.38,-0.06,0.15,,-0.14,0.05,0.14,,,,-0.53,,,,0.4,0.22,0.34,,0.05,,0.64,,0.26,,0.19,,,0.53,0.58,,,,,0.16,-0.03,0.77,,,,,-0.16,,,-0.61,,,-0.03,,,,0.43,-0.07,,,-0.05,-0.2,-0.26,-0.09,0.13
18,100202,,,,0.06,,,,,-0.33,,0.18,,0.05,,0.74,,0.52,,,,,-0.06,0.28,,,,-0.18,,,,,,,0.02,-0.01,,,,,0.52,0.63,0.24,,,,,,,,0.2,,,-0.23,,,,,-0.3,,,,,,,
19,100279,,,,0.73,,,,0.58,0.41,0.37,0.0,,-0.57,,,,-0.59,,,,,0.11,-0.25,,,,-0.01,,0.51,,0.17,,,-0.39,0.48,,,,,,-0.01,0.57,,,,-0.21,,,-0.78,0.08,,,-0.2,,,,0.05,-1.03,,,0.15,0.19,0.15,0.28,0.83
20,100282,,,,,,,,,,,,-0.3,-0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,0.73,,,,0.66,-0.01,-0.06,0.05,0.48
21,100284,,,,-0.41,,,,,-1.19,,,,,,,,,,,,,,0.62,,,,0.23,,,,,,,0.81,0.04,,,,0.93,,0.78,0.59,,,,,,,,0.32,,,-0.06,,0.46,,0.27,,,,-0.07,-0.49,-0.23,-0.48,-0.66
22,100366,,,,,,,-0.2,,,,-0.06,,0.29,,,,,,,,,0.84,-0.17,,,,0.5,,,0.26,0.14,,0.67,0.0,0.5,0.24,,0.71,,0.06,-0.05,0.04,,,,,,,,0.22,,,,,,,,,,,,,,,
23,100369,,0.1,,,,,0.39,,,,-0.02,,-0.02,,0.3,,,,,,,,0.18,,,,0.23,,,0.23,0.12,,,0.14,0.24,,,,,,0.22,0.43,,,,,,,,0.09,,,,,0.03,,,,,,,,,,
24,100370,,,,,,,0.02,,,,0.26,,0.44,,,,,0.49,,,,0.65,0.65,,,,0.46,,,,0.97,,,0.47,0.34,,,0.33,,,0.3,-0.06,,,,,,,,0.5,,,,,0.5,,,0.4,,,,,,,
25,100455,,,,,,,,,,,,,,,,,,,,,,,0.51,,,,,,,,,,,0.44,0.47,,,,,,,,,,,,,,,0.08,,,,,,,0.64,,,,0.49,0.29,0.7,0.27,2.19
26,100458,,,,,0.11,,,,,,-0.02,0.71,-0.31,,,,0.74,,,,,,0.06,,,,0.86,,,,0.24,,,0.73,0.6,,,,1.11,,-0.02,-0.16,,,,,,,,0.07,,,0.12,,,,0.32,,,,0.61,0.56,0.66,0.6,-0.41
27,100459,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,0.17,0.16,1.26,0.66
28,100511,,,,,,,0.47,0.88,,,0.18,,,,,,,,,,,,1.09,,,,0.63,,,,,,,,,0.93,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,
29,100521,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,
30,100527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,100528,,,,,,,,,,,-0.44,-0.24,0.61,,,,,,,,,,-0.06,,,,,,,,0.75,,,,0.7,,,,,,-0.54,,,,,,,,,0.73,,,-0.3,,,,,,,,,,,,
32,100529,,,,,,,,,,,,-0.13,,,,,,,,,,,-0.14,,,,,,,,,,,-0.47,,,,,,,-0.26,,,0.13,,,,,,-0.26,,,,,,,,,,,,,,,
33,100536,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,,,,,,,1.19,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,
34,100537,,,,,,,,,,0.9,0.18,,-0.22,,,,0.3,,,,,,0.34,,,,0.7,,,,,,,0.5,0.62,,,,,,0.37,,,,,,,,,0.35,,,0.22,,,,,,,,,,,,
35,100539,,,,,,,,,,,,0.23,,,,,,,,,,,-0.51,,,,,,,,-0.23,,,,,,,,,,-0.79,,,,,,,,,,,,,,,,,,,,,,,,
36,100540,,,,0.76,,,,0.39,0.54,,0.47,,-0.06,,0.01,,-0.52,,,,,,0.35,,,,0.35,,0.19,-0.24,,,,0.11,,,,,,,-0.03,,,,,,,,,-0.05,,,0.39,,,,0.63,,,,,,,,
37,100544,,,,,,,,,,,-0.79,-0.82,-0.89,,,,-0.15,,,,,,-0.17,,,,,,,,,,,,,,,,,,-0.95,,,,,,,,,-0.13,,,-0.01,,,0.25,-0.17,,,,,,,,
38,100547,,,,,,,,,,,1.25,,0.93,,,,,,,,,,-1.04,,,,,,,1.31,-0.74,,,,,,,,,,0.82,0.46,,,,,,,,0.5,,,,,,,,,,,,,,,
39,100590,,,,,,,,,,,0.53,,-0.31,,,,,,,,,,-0.97,,,,,,,,,,,,,,,,,,-0.42,,,,,,,,,,,,-0.22,,,,,,,,0.2,0.68,0.21,0.5,1.68
40,100624,,,,,,,0.39,0.53,,,-0.16,,0.28,,,,,,,,,,,,,,0.3,,0.77,,0.47,,,0.4,0.45,,,,,,-0.18,,,,,,,,,,,,,,,,-0.17,,,,0.28,-0.23,-0.19,0.15,0.27
41,100625,,,,,,,,,,,-0.02,,-0.4,,,,,,,,,,-0.3,,,,-0.61,,,,,,,,,,,,-0.4,,0.27,-0.03,,,,,,,,,,,0.54,,-0.24,,0.04,,,,0.41,0.09,-0.22,-0.62,0.4
42,100637,,,,,,,0.17,,,0.42,0.13,,-0.24,,,,0.04,,,,,,-0.68,,,,-0.2,,,,,,,-0.54,0.55,,,,,,-0.52,,,,,,,,,-0.85,,,0.26,,0.35,,0.04,1.14,,,0.44,-0.08,0.01,-0.21,1.37
43,100638,,,,-0.44,,,,,,,-0.08,-0.12,-0.13,,,,-0.29,,,,,,-0.33,,,,0.31,,,-0.72,0.29,,,1.12,0.46,,,,,,0.21,0.24,,,,,,,,-0.16,0.28,,-0.48,,0.76,,0.35,0.98,,,0.83,0.44,0.49,0.73,1.54
