URN,name,type,borough,postcode,gender,admissions,entries,published VA,SE,estimate,lo 89%,hi 89%,P(top fifth in London),P(top fifth in England),P(above London median),expected from GCSE
137018,Kneller Hall School,Independent schools,Richmond upon Thames,TW1 4QG,Mixed,Selective,10.0,1.11,0.31887755102040816,0.8051867440174502,0.4922339578199224,1.1161574175854765,0.99875,0.99875,1.0,
100511,Queen's Gate School,Independent schools,Kensington and Chelsea,SW7 5LE,Girls,Not applicable,8.0,1.09,0.35714285714285715,0.6837806671346962,0.3426348207683417,1.0385372972706322,0.97,0.97,1.0,
143659,"City of London Academy, Highgate Hill",Free Schools,Islington,N19 3EU,Mixed,Non-selective,10.0,0.99,0.31887755102040816,0.625378442989091,0.3030099442366548,0.9668274687625467,0.955,0.9525,1.0,0.06198318093957203
101369,The King Alfred School,Independent schools,Barnet,NW11 7HY,Mixed,Non-selective,10.0,1.12,0.31887755102040816,0.6113820998029919,0.30372923265105095,0.9214615180847858,0.95875,0.96,0.99875,
138518,Ark Isaac Newton Academy,Academies,Redbridge,IG1 1FY,Mixed,Non-selective,44.0,0.67,0.15306122448979592,0.6041283438753561,0.40861958432259243,0.8000195229842691,0.9925,0.9925,1.0,0.16116006349920675
100370,Latymer Upper School and Latymer Prep,Independent schools,Hammersmith and Fulham,W6 9LR,Mixed,Selective,57.0,0.65,0.13520408163265307,0.5985477928165684,0.42100561029004374,0.7712595844907959,0.995,0.9975,1.0,
101241,"Barking Abbey School, A Specialist Sports and Humanities College",Local authority maintained schools,Barking and Dagenham,IG11 9AG,Mixed,Non-selective,41.0,0.73,0.15816326530612249,0.5822881425254858,0.3673062081841217,0.7989206666045856,0.9875,0.9875,1.0,0.013349819714041266
101367,Mill Hill Schools,Independent schools,Barnet,NW7 1QS,Mixed,Not applicable,25.0,0.64,0.20153061224489796,0.5774576455452466,0.34660364507508307,0.8214252999249305,0.985,0.98375,1.0,
100757,Sydenham & Dulwich Girls GDST,Independent schools,Lewisham,SE26 6BL,Girls,Selective,7.0,0.95,0.3826530612244898,0.5491310573055932,0.22415736204644165,0.8882273133043285,0.90625,0.9025,0.995,
100965,Bow School,Local authority maintained schools,Tower Hamlets,E3 3QW,Mixed,Non-selective,18.0,0.79,0.23724489795918366,0.5481887658376169,0.2695174873964514,0.8394519955737599,0.94,0.9375,0.99875,-0.09349558933928105
100974,George Green's School,Local authority maintained schools,Tower Hamlets,E14 3DW,Mixed,Non-selective,18.0,0.72,0.23724489795918366,0.5444053180490799,0.2659459620151555,0.8197385468678031,0.9375,0.93375,1.0,-0.01189900637707161
100754,St Dunstan's College,Independent schools,Lewisham,SE6 4TY,Mixed,Selective,18.0,0.68,0.23979591836734693,0.5239627967016621,0.2672902682489,0.788945956178377,0.93625,0.93625,1.0,
133724,JFS,Local authority maintained schools,Brent,HA3 9TE,Mixed,Non-selective,64.0,0.57,0.12755102040816324,0.5192193614468721,0.33586742856328666,0.7118412677900938,0.98625,0.9875,1.0,0.18909776412156018
102942,St Paul's School,Independent schools,Richmond upon Thames,SW13 9JT,Boys,Not applicable,77.0,0.53,0.11479591836734696,0.4937696891988626,0.3320792088910188,0.6514344860592061,0.9875,0.98375,1.0,
138924,Heston Community School,Academies,Hounslow,TW5 0QR,Mixed,Non-selective,30.0,0.7099999999999999,0.18367346938775514,0.47220370234635295,0.22704897323762369,0.7112071062684047,0.8975,0.89625,0.99875,0.04149480499569887
101846,Old Palace of John Whitgift School,Independent schools,Croydon,CR0 1AX,Girls,Selective,6.0,0.48,0.413265306122449,0.46253331049039415,0.1339270614275283,0.7977458282613001,0.81125,0.8025,0.98375,
102247,The John Lyon School,Independent schools,Harrow,HA2 0HN,Mixed,Not applicable,27.0,0.39000000000000007,0.19387755102040816,0.4565509971523865,0.22266484145409562,0.7030611703632994,0.8725,0.87,0.99625,
137204,Hatch End High School,Academies,Harrow,HA3 6NR,Mixed,Non-selective,16.0,0.69,0.25255102040816324,0.45508223468326336,0.17661969943069428,0.7431983230007094,0.825,0.825,0.995,-0.029376496143182676
140935,Harris Academy Tottenham,Free Schools,Haringey,N17 9LN,Mixed,,23.0,0.68,0.20918367346938777,0.45371380253910376,0.1969571999813168,0.6984020391667036,0.85125,0.84125,1.0,0.11358858257185385
137075,Park High School,Academies,Harrow,HA7 1PL,Mixed,Non-selective,32.0,0.6,0.17857142857142858,0.4487837485289624,0.22474288291880642,0.6677959148525313,0.885,0.8825,1.0,0.026902428216915516
102453,St Helen's School,Independent schools,Hillingdon,HA6 3AS,Girls,Selective,23.0,0.61,0.20918367346938777,0.4451091071479768,0.2030827299081806,0.6821521878432774,0.8675,0.85875,0.99875,
101947,St Benedict's School,Independent schools,Ealing,W5 2ES,Mixed,Selective,23.0,0.54,0.211734693877551,0.4352355859326743,0.1917961487985023,0.6768117202836774,0.85625,0.85375,0.99875,
135835,"The City Academy, Hackney",Academies,Hackney,E9 6EA,Mixed,Non-selective,25.0,0.62,0.20153061224489796,0.42719780290915155,0.1930709696081727,0.6868432320726376,0.825,0.8225,0.99875,0.09928335025291954
101071,Emanuel School,Independent schools,Wandsworth,SW11 1HS,Mixed,Selective,27.0,0.46,0.19387755102040816,0.416807919140718,0.17734660561688065,0.6576869802681781,0.81,0.80875,0.99625,
144795,London Park School Mayfair and London Park School Sixth,Independent schools,Westminster,W1J 7NL,Mixed,Non-selective,7.0,0.7299999999999999,0.38010204081632654,0.4137420411076693,0.017058294003093683,0.8095841803299865,0.705,0.70375,0.95125,
136798,Wallington County Grammar School,Academies,Sutton,SM6 7PH,Boys,Selective,75.0,0.45,0.11734693877551021,0.41111600033331,0.23473029262824194,0.5891511250177518,0.89125,0.88625,1.0,0.18635626841266123
143082,Bishop Douglass School Finchley,Academies,Barnet,N2 0SQ,Mixed,Non-selective,19.0,0.56,0.22959183673469388,0.41040616100358995,0.14207519143218128,0.6865954279749668,0.77125,0.76625,0.995,0.053993556077700865
101072,Putney High School GDST,Independent schools,Wandsworth,SW15 6BH,Girls,Not applicable,20.0,0.4,0.22448979591836732,0.4073407634765431,0.14559756320413897,0.6516737462786372,0.79875,0.78625,0.9975,
135584,Ark Globe Academy,Academies,Southwark,SE1 6AG,Mixed,Non-selective,19.0,0.63,0.23214285714285712,0.3980390596740024,0.11391168379155434,0.684176996806468,0.745,0.735,0.99125,0.03348950433277844
103097,Heathcote School & Science College,Local authority maintained schools,Waltham Forest,E4 6ES,Mixed,Non-selective,13.0,0.39,0.28061224489795916,0.394246483081595,0.06904603168032361,0.6916717587800522,0.7325,0.7225,0.97875,-0.10810198310634139
136028,Dagenham Park CofE School,Local authority maintained schools,Barking and Dagenham,RM10 9QH,Mixed,Non-selective,19.0,0.78,0.23214285714285712,0.3921772601304903,0.12001318362478851,0.6835741378037071,0.7325,0.72875,0.99375,-0.06721062825270685
100051,Regent High School,Local authority maintained schools,Camden,NW1 1RX,Mixed,Non-selective,20.0,0.4600000000000001,0.22448979591836732,0.39120661218117403,0.09304155733750426,0.6829176384754428,0.74,0.73125,0.98875,-0.025936147855968917
101842,Trinity School,Independent schools,Croydon,CR9 7AT,Mixed,Not applicable,49.0,0.45,0.14540816326530612,0.3899804941124077,0.18256474906436962,0.5872157282542206,0.81375,0.8,1.0,
100003,City of London School,Independent schools,City of London,EC4V 3AL,Boys,Not applicable,63.0,0.44,0.12755102040816324,0.38651188251788765,0.20411735578029344,0.5714778563497177,0.81875,0.815,1.0,
101940,Greenford High School,Local authority maintained schools,Ealing,UB1 2GU,Mixed,Non-selective,36.0,0.61,0.1683673469387755,0.38308028092220225,0.1602940124651238,0.5993038263671792,0.785,0.7825,0.99625,0.08309335414962969
142864,Pinner High School,Free Schools,Harrow,HA5 1NB,Mixed,Non-selective,22.0,0.55,0.2142857142857143,0.38061879473329974,0.123342722104738,0.6293873865181192,0.7525,0.74875,0.98875,0.11451299363066944
100065,University College School,Independent schools,Camden,NW3 6XH,Mixed,Not applicable,79.0,0.44,0.1122448979591837,0.37324941208083773,0.21563302667360826,0.5376246913139131,0.8425,0.82375,1.0,
