URN,name,type,borough,postcode,gender,admissions,entries,published VA,SE,estimate,lo 89%,hi 89%,P(top fifth in London),P(top fifth in England),P(above London median),expected from GCSE
149733,Imperial College London Mathematics School,Free Schools,Barnet,N12 9EY,,Non-selective,43.0,1.03,0.1887755102040816,0.9406592681697014,0.6798751985356841,1.1844536046262077,1.0,1.0,1.0,
140564,King's College London Maths School,Free Schools,Lambeth,SE11 6NJ,Mixed,Non-selective,76.0,0.9099999999999999,0.14030612244897958,0.8178304459056598,0.6065104925654135,1.0125519709976283,1.0,1.0,1.0,
137539,Hasmonean High School for Boys,Academies,Barnet,NW4 1NA,Boys,Non-selective,35.0,0.86,0.2066326530612245,0.7568099769685332,0.475515070245705,1.008337336368212,0.99875,0.99875,1.0,0.5275383304826372
137221,Drayton Manor High School,Academies,Ealing,W7 1EU,Mixed,Non-selective,53.0,0.8000000000000002,0.1683673469387755,0.7184855477635449,0.4822171267979853,0.9497199076235838,1.0,1.0,1.0,0.33646881853012645
140985,Harris Academy Battersea,Academies,Wandsworth,SW11 5AP,Mixed,,27.0,1.12,0.2372448979591837,0.7060050754268384,0.43864341931242085,0.9759539499026179,0.99125,0.9925,1.0,0.25449914584806854
137094,Enfield Grammar School,Academies,Enfield,EN2 6LN,Boys,Non-selective,10.0,1.35,0.39030612244897966,0.6935502349786353,0.3544678486500189,1.0595536337358566,0.97375,0.9775,0.99875,0.18031175309683042
100051,Regent High School,Local authority maintained schools,Camden,NW1 1RX,Mixed,Non-selective,22.0,0.84,0.2602040816326531,0.61155547020481,0.30860390192167425,0.9094433451583914,0.9575,0.95875,0.99875,0.09648725847331024
137018,Kneller Hall School,Independent schools,Richmond upon Thames,TW1 4QG,Mixed,Selective,14.0,0.6,0.3290816326530613,0.6110583607887092,0.27611252820264565,0.9415442379745423,0.945,0.95125,0.9975,
137729,Featherstone High School,Academies,Ealing,UB2 5HF,Mixed,Non-selective,52.0,0.72,0.16836734693877553,0.6050417959612324,0.38814991278844174,0.8255372134606043,0.995,0.995,1.0,0.2811092546077708
138227,Avanti House School,Free Schools,Harrow,HA7 2EQ,Mixed,Non-selective,85.0,0.69,0.13520408163265307,0.5998762273963149,0.4033226906862579,0.7919108241032925,1.0,1.0,1.0,0.3535547644498815
101241,"Barking Abbey School, A Specialist Sports and Humanities College",Local authority maintained schools,Barking and Dagenham,IG11 9AG,Mixed,Non-selective,66.0,0.66,0.15051020408163265,0.5648776889728542,0.36407222689177077,0.7717835931694085,0.9925,0.9925,1.0,0.08631618805133781
141963,Turing House School,Free Schools,Richmond upon Thames,TW2 6LH,Mixed,Non-selective,26.0,0.64,0.23979591836734698,0.5635278943237091,0.2959833360074731,0.8318721163045363,0.96125,0.965,1.0,0.3425092907665626
143759,Harris Rainham Sixth Form,Free Schools,Havering,RM13 9XA,Mixed,,34.0,0.59,0.211734693877551,0.5605098018649691,0.3007770603663227,0.8188628394978206,0.965,0.97375,1.0,
138518,Ark Isaac Newton Academy,Academies,Redbridge,IG1 1FY,Mixed,Non-selective,46.0,0.59,0.18112244897959187,0.556039183428425,0.3122895742375881,0.7955307503632288,0.975,0.9825,1.0,0.17083825048350165
137299,Richard Challoner School,Academies,Kingston upon Thames,KT3 5PE,Boys,Non-selective,45.0,0.85,0.1836734693877551,0.5300922141340105,0.28488999512221613,0.7664098623655728,0.96,0.96375,1.0,0.3830721826011795
143659,"City of London Academy, Highgate Hill",Free Schools,Islington,N19 3EU,Mixed,Non-selective,12.0,0.44,0.35459183673469385,0.5180271839259032,0.18395392436665037,0.8563248384584911,0.87875,0.89625,0.99875,0.09963539616117789
140966,Trinity Academy,Free Schools,Lambeth,SW2 1QS,Mixed,,7.0,1.11,0.4642857142857143,0.4961277885933062,0.08236896514513503,0.8719104750827592,0.82875,0.84375,0.98625,0.06089064594800593
134226,Harris Lowe Academy Willesden,Academies,Brent,NW10 3ST,Mixed,Non-selective,26.0,0.62,0.23979591836734698,0.48237997479847167,0.2148279592981672,0.742670036687322,0.9,0.91,0.9975,0.16026882617320481
135747,JCoSS,Local authority maintained schools,Barnet,EN4 9GE,Mixed,Non-selective,55.0,0.71,0.16581632653061226,0.47560807268408195,0.26037136547004797,0.6885430575446327,0.93875,0.94625,1.0,0.13837335051865454
