URN,name,type,borough,postcode,gender,admissions,entries,published VA,SE,estimate,lo 89%,hi 89%,P(top fifth in London),P(top fifth in England),P(above London median),expected from GCSE
103097,Heathcote School & Science College,Local authority maintained schools,Waltham Forest,E4 6ES,Mixed,Non-selective,35.0,1.2,0.1709183673469388,1.0120664398876134,0.7914311614192969,1.2388908442212514,1.0,1.0,1.0,0.06759559933851693
138518,Ark Isaac Newton Academy,Academies,Redbridge,IG1 1FY,Mixed,Non-selective,28.0,0.91,0.19387755102040818,0.7615453069877742,0.49822032304406005,1.012734701189801,0.99625,0.99875,1.0,0.15673978248434484
143659,"City of London Academy, Highgate Hill",Free Schools,Islington,N19 3EU,Mixed,Non-selective,11.0,1.19,0.3086734693877551,0.7550240555175047,0.38235808854212155,1.1187105330357419,0.975,0.9825,0.99875,0.04236986914250332
138461,Waldegrave School,Academies,Richmond upon Thames,TW2 5LH,Mixed,Non-selective,57.0,0.82,0.13520408163265307,0.7480951800091096,0.5658279384515862,0.9410670033907513,1.0,1.0,1.0,0.22829897507512834
136669,Brampton Manor Academy,Academies,Newham,E6 3SQ,Mixed,Non-selective,89.0,0.81,0.10714285714285715,0.7353225944773562,0.5866903149839094,0.8904569234649657,1.0,1.0,1.0,0.10257252084320244
136631,Swakeleys School for Girls,Academies,Hillingdon,UB10 0EJ,Girls,Non-selective,45.0,0.75,0.15306122448979595,0.6378377901100853,0.4239004614010805,0.8498185151914152,0.99875,0.99875,1.0,0.1644304770251772
101846,Old Palace of John Whitgift School,Independent schools,Croydon,CR0 1AX,Girls,Selective,15.0,1.0,0.2627551020408163,0.6272884394753833,0.32938452986185945,0.9280543720645631,0.965,0.97375,1.0,
138609,Queens Park Community School,Academies,Brent,NW6 7BQ,Mixed,Non-selective,15.0,0.92,0.26275510204081626,0.5902098855311887,0.2721971472898628,0.9143897842634092,0.935,0.94625,0.99875,0.03572771549866469
145860,Harris Academy Wimbledon,Free Schools,Merton,SW19 2JY,Mixed,Non-selective,15.0,1.13,0.26275510204081626,0.5836312809702915,0.29522757091905466,0.8752105103253993,0.94125,0.965,0.99875,0.12198709000183985
132256,Highlands School,Local authority maintained schools,Enfield,N21 1QQ,Mixed,Non-selective,44.0,0.69,0.15306122448979592,0.5766528852814987,0.3716070453248321,0.7795308387035484,0.98625,0.9875,1.0,0.05864763710557819
137221,Drayton Manor High School,Academies,Ealing,W7 1EU,Mixed,Non-selective,40.0,0.64,0.16326530612244897,0.5553126770372916,0.3315253017788269,0.782822070308724,0.97375,0.98375,1.0,0.05009169486571105
137018,Kneller Hall School,Independent schools,Richmond upon Thames,TW1 4QG,Mixed,Selective,12.0,0.42,0.2933673469387755,0.5369201239143362,0.24420491728062016,0.831405080006908,0.905,0.9325,0.99625,
142178,The Charter School East Dulwich,Free Schools,Southwark,SE22 8EY,Mixed,Non-selective,41.0,0.61,0.16071428571428575,0.5340441483416889,0.3175048987698079,0.7440336074937608,0.96875,0.9825,1.0,0.03051900312828363
134226,Harris Lowe Academy Willesden,Academies,Brent,NW10 3ST,Mixed,Non-selective,15.0,0.83,0.2627551020408163,0.5255724829034899,0.2110306809147513,0.8448001522447864,0.8875,0.91,0.99625,0.003935712393641332
141963,Turing House School,Free Schools,Richmond upon Thames,TW2 6LH,Mixed,Non-selective,24.0,0.67,0.2091836734693878,0.5168647499628704,0.24828605207060175,0.7885171822688269,0.91,0.9325,1.0,0.07796400510465523
100511,Queen's Gate School,Independent schools,Kensington and Chelsea,SW7 5LE,Girls,Not applicable,13.0,0.6,0.2831632653061224,0.5145619271389154,0.17416702531452044,0.839575627979413,0.86125,0.87875,0.9925,
101939,Brentside High School,Local authority maintained schools,Ealing,W7 1JJ,Mixed,Non-selective,30.0,0.62,0.18622448979591838,0.5111980896931919,0.25909772835422357,0.7438140809344048,0.92625,0.94375,0.9975,-0.00489375823442439
137204,Hatch End High School,Academies,Harrow,HA3 6NR,Mixed,Non-selective,15.0,0.69,0.2627551020408163,0.4885054677339623,0.1979498974294822,0.7733848613520652,0.865,0.88875,0.995,-0.00861355173938161
