URN,name,type,borough,subjects with P > 0.8,estimate [Maths],P(top fifth) [Maths],entries [Maths],estimate [Economics],P(top fifth) [Economics],entries [Economics],estimate [Psychology],P(top fifth) [Psychology],entries [Psychology]
149733,Imperial College London Mathematics School,Free Schools,Barnet,1,0.9406592681697014,1.0,43.0,,,,,,
140564,King's College London Maths School,Free Schools,Lambeth,1,0.8178304459056598,1.0,76.0,,,,,,
137539,Hasmonean High School for Boys,Academies,Barnet,1,0.7568099769685332,0.99875,35.0,0.3423252967609538,0.6725,31.0,0.3630389106968238,0.6325,15.0
137221,Drayton Manor High School,Academies,Ealing,2,0.7184855477635449,1.0,53.0,0.18436434429120666,0.3,20.0,0.5553126770372916,0.97375,40.0
140985,Harris Academy Battersea,Academies,Wandsworth,1,0.7060050754268384,0.99125,27.0,-0.04198399509569325,0.05125,12.0,,,
137094,Enfield Grammar School,Academies,Enfield,1,0.6935502349786353,0.97375,10.0,0.36691312147667504,0.67125,18.0,,,
100051,Regent High School,Local authority maintained schools,Camden,1,0.61155547020481,0.9575,22.0,0.39120661218117403,0.74,20.0,-0.025026462291749017,0.07875,10.0
137018,Kneller Hall School,Independent schools,Richmond upon Thames,3,0.6110583607887092,0.945,14.0,0.8051867440174502,0.99875,10.0,0.5369201239143362,0.905,12.0
137729,Featherstone High School,Academies,Ealing,1,0.6050417959612324,0.995,52.0,0.19058054295085106,0.25625,34.0,0.12216442508404544,0.12375,38.0
138227,Avanti House School,Free Schools,Harrow,1,0.5998762273963149,1.0,85.0,0.3372053690403658,0.67,39.0,0.23366575637520534,0.315,52.0
101241,"Barking Abbey School, A Specialist Sports and Humanities College",Local authority maintained schools,Barking and Dagenham,2,0.5648776889728542,0.9925,66.0,0.5822881425254858,0.9875,41.0,0.1671737488462969,0.175,44.0
141963,Turing House School,Free Schools,Richmond upon Thames,2,0.5635278943237091,0.96125,26.0,0.21298905421154524,0.34875,23.0,0.5168647499628704,0.91,24.0
143759,Harris Rainham Sixth Form,Free Schools,Havering,1,0.5605098018649691,0.965,34.0,0.26231146944378164,0.45125,15.0,0.2822184964324921,0.50375,28.0
138518,Ark Isaac Newton Academy,Academies,Redbridge,3,0.556039183428425,0.975,46.0,0.6041283438753561,0.9925,44.0,0.7615453069877742,0.99625,28.0
137299,Richard Challoner School,Academies,Kingston upon Thames,1,0.5300922141340105,0.96,45.0,-0.22326736419248439,0.0,31.0,-0.29922527727120035,0.0,52.0
143659,"City of London Academy, Highgate Hill",Free Schools,Islington,3,0.5180271839259032,0.87875,12.0,0.625378442989091,0.955,10.0,0.7550240555175047,0.975,11.0
140966,Trinity Academy,Free Schools,Lambeth,1,0.4961277885933062,0.82875,7.0,0.26394986579801516,0.475,9.0,,,
134226,Harris Lowe Academy Willesden,Academies,Brent,2,0.48237997479847167,0.9,26.0,0.10070990787328839,0.175,16.0,0.5255724829034899,0.8875,15.0
135747,JCoSS,Local authority maintained schools,Barnet,1,0.47560807268408195,0.93875,55.0,0.12050882597680898,0.1325,37.0,0.33127561388060317,0.62,32.0
136669,Brampton Manor Academy,Academies,Newham,2,0.4724107519806553,0.99875,280.0,0.2538296328003037,0.41375,78.0,0.7353225944773562,1.0,89.0
133405,Oaks Park High School,Local authority maintained schools,Redbridge,1,0.4692291430572388,0.9025,42.0,0.11480640542834784,0.145,25.0,0.34056903881224854,0.65125,45.0
103009,The John Fisher School,Local authority maintained schools,Sutton,1,0.46476517397647044,0.87,34.0,0.33805295128102375,0.60875,14.0,-0.19887197465638887,0.00875,16.0
136298,The Charter School North Dulwich,Academies,Southwark,2,0.4620177664180401,0.9325,66.0,0.24650591940419822,0.4125,23.0,0.42051470441716066,0.8625,57.0
137558,Highams Park School,Academies,Waltham Forest,1,0.4615450721854296,0.905,44.0,0.011877579024968643,0.04875,26.0,0.31761136081732055,0.55875,21.0
136341,Lampton Academy,Academies,Hounslow,1,0.4512881564305042,0.94,80.0,0.36066174464248585,0.74875,45.0,0.3089856497897221,0.5725,46.0
100202,Colfe's School,Independent schools,Greenwich,1,0.4468403497009173,0.9125,53.0,0.27881200989662486,0.50375,34.0,0.07534534428091838,0.14625,9.0
149632,Holland Park School,Academies,Kensington and Chelsea,1,0.4446454968932926,0.855,26.0,0.11795494574520231,0.14375,24.0,-0.08504237295473079,0.0025,38.0
136787,Sutton Grammar School,Academies,Sutton,1,0.4383061235213782,0.9775,151.0,0.0005752673283782547,0.0275,30.0,0.10556704735658705,0.1175,26.0
101367,Mill Hill Schools,Independent schools,Barnet,3,0.43321672733440036,0.87875,57.0,0.5774576455452466,0.985,25.0,0.48290411267093075,0.925,43.0
142178,The Charter School East Dulwich,Free Schools,Southwark,2,0.43205021427771156,0.85875,50.0,0.24513805610111575,0.43,21.0,0.5340441483416889,0.96875,41.0
102692,Wimbledon High School GDST,Independent schools,Merton,1,0.42104255657023054,0.85625,47.0,0.3189643274829263,0.5825,14.0,0.3114852504150768,0.54,12.0
133724,JFS,Local authority maintained schools,Brent,3,0.4193501654372478,0.92375,104.0,0.5192193614468721,0.98625,64.0,0.42838222080760024,0.8825,66.0
102942,St Paul's School,Independent schools,Richmond upon Thames,2,0.4149203461052122,0.9675,175.0,0.4937696891988626,0.9875,77.0,,,
100965,Bow School,Local authority maintained schools,Tower Hamlets,1,0.40901997884550895,0.79375,34.0,0.5481887658376169,0.94,18.0,0.32751357685297916,0.57,8.0
100974,George Green's School,Local authority maintained schools,Tower Hamlets,1,0.4073096300277453,0.79,34.0,0.5444053180490799,0.9375,18.0,0.28991035815432853,0.50625,16.0
130446,"HRUC (Harrow, Richmond & Uxbridge Colleges)",Colleges,Hillingdon,1,0.4035604442570995,0.82,47.0,0.04878109085497477,0.06875,19.0,0.32038910420066186,0.5725,56.0
101361,St Michael's Catholic Grammar School,Local authority maintained schools,Barnet,1,0.40305719438852433,0.85125,58.0,-0.014866127959734063,0.0275,25.0,-0.24766404136483147,0.0,29.0
102619,Kingston Grammar School,Independent schools,Kingston upon Thames,1,0.4018823784670494,0.85875,78.0,0.24021614403942235,0.3825,40.0,0.29857721432374257,0.53,30.0
101369,The King Alfred School,Independent schools,Barnet,1,0.4015605602549245,0.73375,11.0,0.6113820998029919,0.95875,10.0,0.4429355520594913,0.77,10.0
100547,Lycee Francais Charles de Gaulle,Independent schools,Kensington and Chelsea,0,0.3940963056078962,0.75375,23.0,-0.07617055718345137,0.04625,9.0,,,
102854,Woodbridge High School,Local authority maintained schools,Redbridge,1,0.3913212421021992,0.85625,88.0,0.31532735434788467,0.59875,43.0,0.20228339177460067,0.25625,40.0
137177,Harrow High School,Academies,Harrow,0,0.3875721006315361,0.70625,17.0,,,,0.24305696663962187,0.4175,13.0
136644,Hayes School,Academies,Bromley,1,0.38170383455530027,0.815,63.0,0.0628325896205334,0.02375,63.0,0.20985468886252703,0.25125,52.0
100284,The Urswick School - A Church of England Secondary School,Local authority maintained schools,Hackney,0,0.37827712347950593,0.67875,12.0,0.3435578720328998,0.60375,6.0,0.1849719201103492,0.31375,10.0
141808,Saint Cecilia's Church of England School,Academies,Wandsworth,0,0.3779994904386987,0.7525,37.0,,,,0.22045746607096844,0.3475,26.0
100754,St Dunstan's College,Independent schools,Lewisham,1,0.3724899442625558,0.7525,31.0,0.5239627967016621,0.93625,18.0,0.3047798931029205,0.53125,11.0
147439,The John Roan School,Academies,Greenwich,0,0.36405360806381126,0.7325,38.0,-0.033337182749908545,0.02125,20.0,0.04142094556265386,0.075,20.0
100521,More House School,Independent schools,Kensington and Chelsea,0,0.36363243430192066,0.62875,6.0,,,,,,
